Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 23 Jan 2024, at 04:22 PM, a car collided with a bus at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,High
"On 21 Feb 2024, at 05:37 AM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 11 Feb 2024, at 01:11 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,Moderate
"On 29 Feb 2024, at 03:48 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 06 Jan 2024, at 01:08 AM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 23 Feb 2024, at 10:38 AM, a car collided with a car at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Heavy rain, fog, or slippery roads",Seatbelt Violation,Weather Issues,High
"On 08 Jan 2024, at 01:54 AM, a two-wheeler collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 19 Jan 2024, at 02:17 AM, a two-wheeler collided with a bus at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 20 Feb 2024, at 04:43 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 18 Jan 2024, at 10:06 AM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 12 Jan 2024, at 09:18 PM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 12 Feb 2024, at 03:32 AM, a car collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 26 Jan 2024, at 07:25 AM, a car collided with a bus at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Car passengers not wearing seatbelts",Road Conditions,Seatbelt Violation,Moderate
"On 10 Feb 2024, at 09:13 AM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,Moderate
"On 02 Jan 2024, at 05:08 PM, a car collided with a bus at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 03 Feb 2024, at 09:51 AM, a car collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,High
"On 11 Feb 2024, at 05:00 PM, a truck collided with a car at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,High
"On 13 Jan 2024, at 06:34 PM, a bus collided with a truck at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 25 Jan 2024, at 11:59 PM, a two-wheeler collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 28 Feb 2024, at 12:05 AM, a two-wheeler collided with a bus at MG Road, Bangalore. Over speeding and reckless maneuvering. Car passengers not wearing seatbelts",Rash Driving,Seatbelt Violation,High
"On 08 Feb 2024, at 10:36 PM, a truck collided with a bus at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 05 Jan 2024, at 11:17 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 02 Feb 2024, at 12:27 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 17 Feb 2024, at 06:37 AM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,Moderate
"On 01 Feb 2024, at 10:01 AM, a bus collided with a bus at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,High
"On 07 Feb 2024, at 09:23 PM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 05 Jan 2024, at 09:45 PM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 13 Jan 2024, at 09:28 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 08 Feb 2024, at 04:50 PM, a bus collided with a truck at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 15 Feb 2024, at 03:03 PM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 09 Feb 2024, at 09:39 PM, a auto-rickshaw collided with a auto-rickshaw at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 29 Jan 2024, at 01:30 PM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 04 Feb 2024, at 11:27 AM, a truck collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Jumping red lights or ignoring stop signs",Pedestrian Negligence,Signal Violation,Moderate
"On 06 Jan 2024, at 06:48 AM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 02 Feb 2024, at 06:39 AM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 11 Feb 2024, at 10:02 AM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 24 Jan 2024, at 02:54 AM, a two-wheeler collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 13 Jan 2024, at 11:36 AM, a car collided with a two-wheeler at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 28 Feb 2024, at 01:48 PM, a car collided with a truck at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 14 Feb 2024, at 03:18 AM, a car collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,High
"On 15 Feb 2024, at 03:59 AM, a two-wheeler collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 06 Feb 2024, at 01:08 PM, a truck collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 20 Jan 2024, at 11:59 AM, a car collided with a car at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 17 Feb 2024, at 03:10 PM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 25 Jan 2024, at 07:35 PM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 01 Jan 2024, at 06:02 AM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 12 Feb 2024, at 10:00 PM, a bus collided with a truck at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 07 Jan 2024, at 05:09 PM, a truck collided with a car at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 16 Jan 2024, at 01:13 AM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 26 Jan 2024, at 04:03 AM, a car collided with a two-wheeler at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 13 Jan 2024, at 01:12 AM, a truck collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 15 Feb 2024, at 06:51 PM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 06 Feb 2024, at 12:13 AM, a truck collided with a truck at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 08 Jan 2024, at 05:33 PM, a truck collided with a car at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,High
"On 25 Feb 2024, at 11:59 AM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,High
"On 02 Jan 2024, at 11:40 PM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 19 Jan 2024, at 08:13 PM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 14 Jan 2024, at 08:54 AM, a bus collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. Two-wheeler rider not wearing a helmet",Drunk Driving,Helmet Violation,High
"On 02 Feb 2024, at 01:15 PM, a car collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 28 Jan 2024, at 05:59 PM, a two-wheeler collided with a car at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 07 Feb 2024, at 02:55 PM, a truck collided with a car at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. DUI-related accident",Pedestrian Negligence,Drunk Driving,Moderate
"On 04 Feb 2024, at 01:09 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 24 Jan 2024, at 12:41 PM, a two-wheeler collided with a bus at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 07 Jan 2024, at 08:06 PM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 27 Feb 2024, at 07:02 AM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 25 Jan 2024, at 05:52 AM, a car collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Heavy rain, fog, or slippery roads",Weather Issues,Weather Issues,Moderate
"On 19 Feb 2024, at 10:35 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 12 Feb 2024, at 06:55 PM, a two-wheeler collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 18 Feb 2024, at 03:31 AM, a truck collided with a truck at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 23 Jan 2024, at 10:25 PM, a auto-rickshaw collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 12 Jan 2024, at 02:26 PM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 27 Feb 2024, at 09:32 PM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Over speeding and reckless maneuvering. Over speeding and reckless maneuvering",Rash Driving,Rash Driving,Moderate
"On 10 Jan 2024, at 11:51 PM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,Moderate
"On 02 Feb 2024, at 12:49 AM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 04 Feb 2024, at 05:54 PM, a bus collided with a car at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 24 Jan 2024, at 02:06 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 27 Feb 2024, at 08:25 AM, a two-wheeler collided with a car at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 29 Feb 2024, at 01:20 AM, a two-wheeler collided with a car at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 29 Feb 2024, at 07:20 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 16 Jan 2024, at 05:14 AM, a truck collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 02 Jan 2024, at 01:37 AM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 11 Feb 2024, at 01:38 AM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 02 Feb 2024, at 08:17 AM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 13 Feb 2024, at 09:59 AM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,Moderate
"On 11 Jan 2024, at 09:06 AM, a car collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Jumping red lights or ignoring stop signs",Helmet Violation,Signal Violation,Moderate
"On 07 Jan 2024, at 10:30 AM, a car collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,High
"On 10 Feb 2024, at 03:52 AM, a two-wheeler collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,High
"On 03 Feb 2024, at 11:27 AM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,Moderate
"On 17 Jan 2024, at 07:12 AM, a car collided with a car at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
